()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>157</BIN><BGM>BGM_Sneak</BGM><黑屏2>:
()||:결국 HK416에게 【옐로우존】에서 신호탄을 쏘기로 하였다.
AK12(2)<Speaker>AK12</Speaker>||:안젤리아, 저기 신호탄이에요!
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:그리폰의 제식 신호탄이야, 지휘관이 유도해주고 있어!
AK12(2)<Speaker>AK12</Speaker>||:저쪽 방향은 옐로우존이겠네요, 아마 당신의 몸도 버틸 수 있을 거예요.
AN94(2)<Speaker>AN94</Speaker>||:안젤리아, 좀 괜찮아졌습니까?
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker><震屏>||:아니... 크음... 아직은 버틸 수 있을 것 같아.
AK12(2)<Speaker>AK12</Speaker>||:그럼 서두르죠, 곧 감염자들에게 따라잡힐 거예요!
AN94(5)<Speaker>AN94</Speaker>||:하지만 아직 전진할 수 없습니다.+전방에 군의 인형소대 몇몇이 순찰 중입니다, 우선 그들의 경로를 파악해야 합니다.
NPC-AngeDamage(0)<Speaker>안젤리아</Speaker>||:군하고... 저 피폭생물들을 서로 싸우게 할 수는 없나?
AK12(2)<Speaker>AK12</Speaker>||:가능해요, 방금 관찰한 결과 군은 피폭생물을 공격하고 있어요, 아마 저희를 추격하느라 부상자든 아군신호든 무시하는 것 같아요.+그렇다고 여기에 기댈 수는 없어요. 안 그러면 동시에 감염자와 군을 끌어들여서 수에 밀리고 말 거예요.
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:그렇지... 콜록... 제길, 잠깐 생각해볼게...+어쩔 수 없군... 접근해서 신호탄 착탄지점으로 가서, 신호강도를 탐지해서 천천히 표식을 추적할 수밖에 없어.
AN94(5)<Speaker>AN94</Speaker>||:반대 의견 있습니다, 현재 전장은 완전히 혼란 상태로, 근처에는 통신 거점도 없어, 잠시는 저희만으로 해결해야 합니다.+지금 표식을 찾기에는 너무 위험합니다. 계속 오염지수가 낮은 구역으로 이동해 신호탄을 쏘아, 구조대를 기다려야 한다고 봅니다.
AK12(2)<Speaker>AK12</Speaker>||:모험할 가치는 있어, 우리 인형 둘이서 군하고 실랑이를 벌일 시간은 없어, 안젤리아가 버티지 못해.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker>||:조용히 해봐...+잠깐... 잠깐 좀 생각해볼 테니까...
AK12(2)<Speaker>AK12</Speaker>||:어느 쪽으로 가든 여기서 쉬고 있을 수는 없어요. 계속 움직이죠, 안젤리아.
NPC-AngeDamage(3)<Speaker>안젤리아</Speaker><Shake>||:알고 있어... 콜록...
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker>||:되도록... 빨리 결정할 테니까...
NPC-AngeDamage(2)<Speaker>안젤리아</Speaker><Shake>||<黑屏1>:콜록... 켁, 커헉!
()||<黑屏1>:<color=#fff775>이 전역의 서로 다른 임무를 달성하면 서로 다른 루트로 진입합니다. 임무 달성 후 다른 루트는 잠기게 되며, 백트래킹을 해야 다시 선택할 수 있습니다.</color>
()||<黑点2><BIN>10</BIN>:
